Fri Mar 11 18:22:07 +0000 2011	Sweetmayumijane	I just scored 439 points in Fruit Ninja's Arcade Mode, with help from 3 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/hOtBxQ
Fri Mar 11 18:29:55 +0000 2011	SimonvdEijkel	I scored 200 points in Fruit Ninja's Zen Mode on iPhone, with a lush 5 fruit combo! http://www.fruitninja.com http://bit.ly/fURggK
Fri Mar 11 18:35:55 +0000 2011	llebecire	I just sliced 325 fruits, including 24 luscious red apples on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/e3FcFJ
Fri Mar 11 18:42:47 +0000 2011	weichen23	I just scored 762 points in Fruit Ninja's Arcade Mode, with help from 3 Freeze Bananas! http://www.fruitninja.com http://bit.ly/gBdLaI
Fri Mar 11 18:43:43 +0000 2011	Systemcrush	I just scored 556 points in Fruit Ninja's Arcade Mode, with help from 3 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/emkNJF
Fri Mar 11 18:47:29 +0000 2011	nic1029	I just sliced 282 fruits, including 20 lush pineapples on Fruit Ninja HD for iPad! http://www.fruitninja.com http://bit.ly/i2UP8I
Fri Mar 11 18:50:58 +0000 2011	taybgibb	I scored 218 points in Fruit Ninja's Zen Mode on iPhone, with a delicious 6 fruit combo! http://www.fruitninja.com http://bit.ly/fyMoo0
Fri Mar 11 18:55:15 +0000 2011	DracoT850	I just sliced 426 fruits, including 27 lush pineapples on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/gXciel
Fri Mar 11 19:04:01 +0000 2011	taybgibb	I just sliced 269 fruits, including 26 juicy apples on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/fyMoo0
Fri Mar 11 19:05:03 +0000 2011	skyhighkenz	I just scored 691 points in Fruit Ninja's Arcade Mode, with help from 2 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/fvxNfT
Fri Mar 11 19:09:24 +0000 2011	txusko	I just scored 833 points in Fruit Ninja's Arcade Mode, with help from 3 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/dVUMW3
Fri Mar 11 19:13:59 +0000 2011	bark_endeavour	I just scored 575 points in Fruit Ninja's Arcade Mode, with help from a Score x2 Banana! http://www.fruitninja.com http://bit.ly/i6TEnh
Fri Mar 11 19:17:23 +0000 2011	Ellay123	I just scored 273 points in Fruit Ninja's Arcade Mode, with help from 2 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/gByrBr
